gene	coef
SEMA5B	0.8375023193631602
MIR4508	0.728316219864191
ATP10B	0.5629382130204655
SPP1	0.4469732174584804
FOXM1	0.405018411132031
GPT2	0.4036514371497406
PLEKHN1	0.3918047095765176
SYT12	0.3861952810970956
RASAL1	0.36249195521444133
AFAP1-AS1	0.3521114833841348
EZH2	0.3515853627898921
LGR4	0.32855309176562525
TMEM184A	0.2725941632601371
LOC154860	0.2644422819766109
CYP24A1	0.23353250702515607
LYVE1	-0.4187589306567465
ECSCR	-0.4883814565696224
PLAC9	-0.507417686425354
SPOCK2	-0.5747907982427208
CD101	-0.5874601159299385
