gene	mean_rank	std_rank	folds_seen
SEMA5B	1.4	0.4898979485566356	5
MIR4508	1.8	0.7483314773547883	5
ATP10B	3.4	0.4898979485566356	5
CD101	3.4	0.8	5
AFAP1-AS1	8.4	5.351635264103861	5
LGR4	15.8	8.930845424706442	5
SPOCK2	16.6	3.4409301068170506	5
LYVE1	17.0	23.004347415216976	5
CYP24A1	17.2	6.968500556073739	5
PLEKHN1	17.8	16.630093204789926	5
RASAL1	18.4	5.043808085167396	5
SYT12	19.4	21.312906887611554	5
SPP1	21.6	30.708956348270778	5
PLAC9	21.8	18.37824801225623	5
LOC154860	22.6	24.23716154998353	5
GPT2	23.2	10.833282051160673	5
ECSCR	25.2	11.124747188138704	5
TMEM184A	27.2	8.565045242145542	5
EZH2	28.8	27.570999256465118	5
FOXM1	29.0	16.186414056238647	5
LOC645249	31.4	29.655353648203217	5
FAM107A	32.0	11.523888232710346	5
ETV4	32.6	20.401960690090547	5
SPAG4	32.8	6.675327707311455	5
PNPLA6	33.0	10.770329614269007	5
LINC00511	33.6	38.0610036651689	5
GRK5	36.0	7.64198926981712	5
ADM2	36.2	16.04244370412438	5
FUT2	37.4	11.324310133513652	5
USHBP1	37.8	30.824665448306167	5
EFNA3	38.8	16.59397481015323	5
STX11	39.8	10.703270528207721	5
FGF11	40.2	14.062716664997557	5
MEX3A	43.4	26.702808841018953	5
RECQL4	44.2	13.717142559585797	5
FMO2	45.0	37.52865571799768	5
ITPKA	46.6	46.37499326145504	5
CLEC3B	47.0	16.34625339336204	5
EMP2	48.2	9.10823802938856	5
OTUD1	49.0	4.147288270665544	5
GINS1	49.0	7.745966692414834	5
CBLC	50.0	19.544820285692065	5
PECAM1	50.0	27.949955277245078	5
MMRN2	50.0	29.95997329771841	5
CSRNP1	50.8	55.34401503324456	5
IQGAP3	51.0	33.92933833719721	5
C16orf59	52.6	17.962182495454165	5
COL10A1	55.4	26.41666140904259	5
FOXF1	56.4	25.19206224190469	5
