gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	direction
OTUD1	1147.35487018128	-2.12895309119211	0.0802443966427198	1.44979030190511e-155	6.53884421965244e-152	Down_in_Tumor
PECAM1	6265.54972140272	-2.25515080607446	0.0914053875313471	9.5014205383447e-136	2.38073927289124e-132	Down_in_Tumor
LOC158376	62.9175692952903	-2.72050121742416	0.11106629544932	6.32281272745057e-133	1.42585749816738e-129	Down_in_Tumor
EPAS1	28366.5670191503	-2.7028681809052	0.110874502807483	6.86123548371488e-132	1.40661564902959e-128	Down_in_Tumor
SEMA3G	738.57303153838	-3.26447076931304	0.134074616719589	2.81561268509043e-131	5.2912401384562e-128	Down_in_Tumor
STX11	844.120953157904	-3.05205758266509	0.12539010555351	3.3093255947109e-131	5.74066165279427e-128	Down_in_Tumor
C13orf15	3480.52761573822	-2.87946087014154	0.120087659949074	1.70520274401983e-127	2.40337669252445e-124	Down_in_Tumor
S1PR1	1807.76619182515	-2.85563512069024	0.119473451683972	1.22414243844074e-126	1.623860948781e-123	Down_in_Tumor
ACVRL1	2310.52350339865	-2.55481776642884	0.10697463037726	1.75713942677478e-126	2.20140284517767e-123	Down_in_Tumor
TEK	985.388025082847	-3.27078066665115	0.138404607017688	7.94426639016685e-124	8.53100720784061e-121	Down_in_Tumor
