gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	direction
SEMA5B	2981.57261613713	5.31180134935299	0.123113478509808	5.89370541854082e-269	1.32908950893514e-264	Up_in_Tumor
MIR4508	548.030292096035	5.89557537176801	0.185365304955011	5.05383882141678e-216	5.69845596308849e-212	Up_in_Tumor
PYCR1	6380.4328714426	3.72900207409341	0.12298819104703	4.06821398544778e-203	3.05807645286109e-199	Up_in_Tumor
FAM83A	5599.75074361796	6.73567507760029	0.235040700465202	3.53058224589277e-183	1.99045400567819e-179	Up_in_Tumor
TUBB3	4301.21182616075	4.90304887746628	0.193404040772086	6.12285324254321e-144	2.30127439120987e-140	Up_in_Tumor
C16orf59	265.644399288773	3.47971558273547	0.140869374988624	1.52389433122922e-136	4.90933443765001e-133	Up_in_Tumor
ETV4	2159.08091575637	3.80062536478208	0.153740311542057	1.79920823472708e-136	5.07174311266629e-133	Up_in_Tumor
AFAP1-AS1	3173.79680152526	6.30332277609475	0.26466840334173	6.03509427584356e-128	9.0731607343032e-125	Up_in_Tumor
B3GNT3	2178.92906616587	4.36620673470843	0.182565961040855	5.79401725292397e-128	9.0731607343032e-125	Up_in_Tumor
TOP2A	5461.46878302626	3.87643138886308	0.161491981623064	4.18258135073467e-126	4.96428379160093e-123	Up_in_Tumor
